DI,DII,C1,C2,C3,C4,C5,C6,C6',C7,C7',C8,C9,yearMonth,,,,
22.2,0,99.1,78.8,102.7,87.2,115.8,-2.3,2.3,-7.5,7.5,86282,0.8,19936,2.3,7.5,0,不景気
16.7,1,99.6,79.1,100.8,86.8,115,-3,3,-5.9,5.9,84177,0.7,19937,3,5.9,1,好景気
22.2,0,98.7,79,104.8,86.1,114.5,-1.5,1.5,-5.3,5.3,82071,0.7,19938,1.5,5.3,0,不景気
44.4,0,98.7,78.9,107.4,85.7,115.1,-0.7,0.7,-5.2,5.2,79966,0.7,19939,0.7,5.2,0,不景気
11.1,0,97.4,78.3,100.4,84.2,112.4,-0.8,0.8,-7.1,7.1,79016,0.7,199310,0.8,7.1,0,不景気
22.2,0,97.3,77.7,96.6,83.2,113.5,-1,1,-4.3,4.3,78066,0.7,199311,1,4.3,0,不景気
11.1,0,96.5,77.5,96.1,82.1,113.6,-2.7,2.7,-3.9,3.9,77116,0.7,199312,2.7,3.9,0,不景気
44.4,0,95.4,77.1,95.1,83.8,112.9,1.3,1.3,-3.3,3.3,77508,0.7,19941,1.3,3.3,0,不景気
44.4,1,97,78,98.8,81.7,112.6,-0.8,0.8,-4.9,4.9,77900,0.6,19942,0.8,4.9,1,好景気
88.9,1,97.9,79.7,100,83.3,115.3,0.1,0.1,-2.9,2.9,78292,0.7,19943,0.1,2.9,1,好景気
61.1,1,99,80,98,83.5,115.2,-1.3,1.3,-3.7,3.7,80175,0.7,19944,1.3,3.7,1,好景気
77.8,0,98.6,79.6,96.9,83.9,117,0.2,0.2,-2.7,2.7,82059,0.6,19945,0.2,2.7,0,不景気
77.8,1,99.9,81.2,99.3,84.8,116.2,0.5,0.5,-1.1,1.1,83942,0.6,19946,0.5,1.1,1,好景気
88.9,1,100.8,81.7,102.8,85,117,3.4,3.4,-1.4,1.4,85554,0.6,19947,3.4,1.4,1,好景気
100,1,101.6,82.1,98.7,84.8,120.1,3.1,3.1,-0.2,0.2,87165,0.6,19948,3.1,0.2,1,好景気
77.8,0,101,82.1,99.4,85.4,114.7,1.2,1.2,-2.2,2.2,88777,0.7,19949,1.2,2.2,0,不景気
77.8,1,102,83.3,101.4,86.5,118,0.7,0.7,-1.3,1.3,89637,0.7,199410,0.7,1.3,1,好景気
72.2,1,102.6,84.1,103.1,86.8,118.3,2.1,2.1,1.4,1.4,90497,0.6,199411,2.1,1.4,1,好景気
88.9,1,103.2,84.9,102,88.6,123.4,1.8,1.8,-0.5,0.5,91357,0.6,199412,1.8,0.5,1,好景気
33.3,0,100.6,83.6,91.6,87.6,119.1,-0.1,0.1,-3.1,3.1,90590,0.6,19951,0.1,3.1,0,不景気
